"","rs","lyap"
"858",3.857,0.262182042202286
"859",3.858,0.308987987464421
"860",3.859,0.356263833581708
"861",3.86,0.371220753156536
"862",3.861,0.364002734227765
"863",3.862,0.383904163011455
"864",3.863,0.39670100994543
"865",3.864,0.402697897937275
"866",3.865,0.402952110949138
"867",3.866,0.408747318477414
"868",3.867,0.414692948336173
"869",3.868,0.429896218295864
"870",3.869,0.436059448543455
"871",3.87,0.416399225571377
"872",3.871,0.403078291046214
"873",3.872,0.4066078435088
"874",3.873,0.432788574529833
"875",3.874,0.440789266961541
"876",3.875,0.437902464582867
"877",3.876,0.448150269768702
"878",3.877,0.461018319815993
"879",3.878,0.459114128584715
